A1	A2	B1	B2
61	66	53	44
28	22	6	12
1024	822	983	925
10	4	9	8
8	10	7	8
7548	7050	7456	5412
188	130	146	138
7	16	12	8
3376	3053	3102	2861
95	78	80	110
77	55	103	102
0	0	0	2
356	230	307	231
2	5	4	4
173	132	176	180
31	49	38	58
7838	7475	7159	6418
46	16	22	38
11678	9006	12952	8361
0	0	1	0
0	0	0	0
549	496	403	461
0	0	0	0
0	6	0	0
0	1	1	0
0	6	3	3
6182	4871	6238	4217
1	0	1	3
0	0	1	2
0	0	0	0
23	22	34	32
10	13	17	5
11	14	19	31
2163	2054	1884	1887
3335	3066	2728	2414
2	6	8	11
2294	1825	2452	1748
96	86	98	84
8518	7558	8994	10049
58	55	40	28
218	191	293	307
0	2	0	1
324	266	277	263
315	269	276	229
547	382	363	376
6548	5866	5929	5459
50	63	61	82
256	218	310	282
75	72	56	62
2	0	1	0
547	514	532	493
237	217	191	211
1736	1544	1666	1488
12897	11700	12252	12193
0	0	0	0
3	5	1	3
654	136	614	354
74	16	179	96
11289	9568	9084	10287
2645	2627	1923	2318
153	169	153	264
1	2	1	3
0	0	0	0
0	0	0	0
57	50	66	67
18	14	23	22
0	0	0	0
0	0	0	0
553	418	525	469
17869	16973	14638	15272
7	13	7	7
2	12	3	4
88	68	102	120
127	110	105	86
470	362	486	435
0	0	0	0
1148	1095	1015	1008
45	43	58	60
7	13	8	4
468	421	540	399
1693	1687	1668	1545
8	9	2	3
6253	5719	5044	5233
3582	3089	3393	3760
1728	1592	1468	1607
305	329	386	311
527	239	245	117
0	0	0	0
34	25	18	9
0	0	3	2
2122	1983	1683	1504
633	599	491	572
604	562	626	619
4579	4411	5067	4588
60	24	31	27
369	310	333	292
567	555	615	519
265	249	273	229
544	437	486	450
543	437	484	449
692	666	732	620
4	6	1	0
1916	1810	1984	1113
584	486	582	369
792	784	830	446
0	0	0	0
0	1	1	3
60	45	57	38
0	0	0	0
4	4	1	0
281	255	303	225
38	39	56	47
1216	1023	931	998
668	556	691	513
757	662	664	589
616	506	641	533
9353	8238	8401	8822
968	916	1021	951
12	5	7	5
50	47	50	32
1270	1185	1196	1097
21462	19436	18690	15242
1033	1064	1054	827
13	18	14	13
2412	2209	2660	2205
5820	4896	6520	5168
1	4	1	1
104	83	116	111
758	788	666	691
804	836	908	989
580	482	489	342
2	0	1	1
0	0	7	8
37	29	31	33
10	3	9	6
1078	1008	880	765
0	0	0	0
8	10	11	14
2	2	4	3
285	281	289	300
6	8	6	2
2	0	2	2
358	271	265	302
0	0	0	0
6	12	14	12
2	1	2	3
37	38	40	32
213	202	226	196
444	313	468	309
1721	1214	1617	1074
2	0	0	2
153	150	136	140
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
16	8	11	7
317	306	358	281
2	4	0	2
120	116	117	158
18	33	27	21
2746	2662	2534	2651
44	35	108	78
963	1244	358	337
1	9	16	5
0	0	0	0
0	0	0	0
3	3	10	1
499	489	526	447
881	842	962	731
69	49	55	67
858	827	839	840
396	400	402	417
1110	1119	836	909
222	191	151	153
0	4	2	0
0	0	0	0
0	0	0	0
0	0	0	0
293	287	451	291
165	115	141	113
485	489	474	442
605	533	660	541
108	100	158	96
4399	3493	5055	3320
709	567	669	496
0	0	0	0
1232	1001	1602	1187
565	413	644	457
2	0	2	2
4807	4229	4930	4039
144	112	152	147
189	205	269	167
0	1	1	1
362	346	458	327
11	8	16	12
12583	10848	10051	8975
125	147	194	215
2	0	0	0
132	99	85	64
6	6	2	0
0	2	0	0
41	17	41	26
224	208	233	213
8	8	10	8
8	12	28	30
910	980	743	831
4	1	3	1
1499	1378	1687	1163
1669	1538	1839	1275
714	718	509	471
3	3	4	2
19	7	13	9
0	0	0	0
0	0	1	0
3	5	2	0
2	8	7	3
1375	1346	1377	1136
1057	891	1015	798
806	628	718	494
150	135	229	211
1386	1299	1117	1223
822	775	732	689
0	0	0	0
65	52	104	83
642	624	499	607
78	63	69	106
2	0	1	0
2	0	1	0
93	98	78	96
26	26	57	47
2031	1854	2011	1664
1593	1432	1653	1339
911	718	768	894
1899	1740	1998	1739
0	0	0	0
231	129	228	120
0	0	0	0
8	0	4	2
1813	1564	1517	1482
2	0	5	1
0	0	0	1
0	0	0	0
1	0	1	1
23092	21312	22056	20430
0	0	2	0
0	0	0	0
1061	998	976	894
1415	1381	1122	1352
0	0	2	0
2	5	2	3
9	12	10	11
63	48	69	39
4	8	1	2
8	14	10	3
0	0	1	0
0	0	1	0
3756	2921	3698	2280
1506	1371	1533	939
85	55	48	58
804	619	499	526
16	7	8	6
449	439	454	397
2	5	0	0
8	8	19	17
47	30	36	32
11	8	11	7
2	2	2	2
4	1	0	2
2	0	2	0
106	84	47	59
0	0	0	1
563	394	495	478
431	335	500	491
32	24	20	16
2727	2392	2046	1882
439	367	418	473
548	527	444	571
7	9	7	8
563	498	900	823
80	67	99	81
0	0	0	0
3157	2998	3504	2690
26	17	23	16
13	12	6	6
421	274	364	223
637	542	682	539
781	684	671	462
4512	3624	4055	2897
0	0	1	1
634	598	549	654
3711	3527	2950	2779
2162	1906	2600	1859
8	12	17	10
13668	12894	13200	11852
13518	12709	13000	11529
971	769	1053	690
1395	1286	1423	1228
0	0	0	0
0	0	1	1
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
531	515	604	699
26	26	38	22
288	278	251	279
113	116	86	77
8	8	18	7
1219	1209	1012	1119
4	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1963	1506	2036	1532
18	8	16	7
2	7	0	3
2123	1996	2381	2394
654	641	512	547
623	631	557	748
0	2	0	1
0	0	0	0
0	0	0	0
0	0	0	1
1315	1226	1275	1087
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
87	51	53	31
0	0	0	0
0	0	0	0
13	12	0	0
2176	1912	1828	1951
858	674	530	542
90	67	95	96
260	294	267	246
154	149	194	152
5141	4823	4444	4293
13	13	41	26
0	0	0	0
0	0	0	1
0	2	0	1
0	2	1	3
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
322	298	330	284
0	0	0	0
275	239	339	195
518	447	609	544
585	603	543	529
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
858	743	614	764
2175	2154	2171	1870
404	310	424	321
145	88	158	60
29	12	30	18
5	2	5	0
126	126	99	85
0	0	0	0
480	428	521	528
42	25	31	32
0	0	0	0
1071	838	1099	945
1439	1362	1084	1195
4	4	1	5
152	134	175	140
290	218	250	235
13	15	20	22
1176	992	1040	837
33	25	41	22
18	24	35	25
41	55	0	0
0	0	3	0
64	48	80	48
3671	2756	2369	1857
559	397	390	349
1178	1087	1226	1370
501	458	390	503
5	6	2	4
1	23	12	3
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1868	1768	1622	1621
2	5	3	7
2	3	1	3
368	334	332	248
3030	2544	3395	2673
91	88	70	69
162	130	96	86
336	212	282	218
796	757	771	750
540	514	700	474
82	92	77	48
31	21	21	20
428	287	428	306
73107	63066	58590	55232
8945	6511	6930	6502
8742	6328	6730	6348
8914	6482	6904	6478
23	25	29	27
7	1	12	8
5091	4590	5088	4166
1190	968	1144	965
1464	1288	1696	1435
2995	2493	2088	2104
11	9	4	1
719	381	511	200
0	0	0	1
22	17	15	3
51	32	57	35
1595	1146	1420	970
5	6	8	7
1	4	7	3
1	5	2	1
0	0	0	0
1516	1316	1170	1249
5825	5128	4976	4847
2	2	1	0
6	18	9	7
11	10	15	5
9	9	6	9
754	746	633	700
142	120	230	202
1166	1327	1006	1185
216	225	178	215
637	573	585	517
9426	8670	6946	6846
381	278	245	220
4066	3810	3025	2987
2	3	3	0
178	165	227	182
0	0	1	1
290	260	120	126
649	543	545	558
0	3	0	0
162	163	181	194
24	19	21	22
8	6	9	8
5490	4873	4387	4695
313	265	216	215
0	0	0	0
230	164	174	209
0	4	0	0
0	4	0	0
3793	3538	2656	2474
16	3	4	5
18	54	19	24
14	11	26	11
124	107	133	110
2540	2116	1979	2038
16	20	16	25
31	40	33	20
270	317	154	184
1009	867	812	714
1293	951	1302	1014
15	32	19	28
442	407	421	364
2	6	12	4
0	2	1	0
38	23	18	12
3067	2725	2444	2357
0	0	0	0
0	0	0	0
2	0	0	0
21	6	6	1
26	12	21	17
6	6	5	5
965	909	948	951
981	920	960	960
4127	3849	3657	2969
0	0	0	0
0	0	0	0
2	0	0	1
0	0	4	0
0	0	1	2
877	798	944	698
884	807	948	700
2851	1259	2938	1307
94	48	100	40
450	218	494	219
2800	2538	2299	2359
436	415	383	443
24	26	29	33
2268	1946	2172	1726
1009	1004	931	902
867	922	929	888
15	28	32	32
833	769	615	587
442	329	430	285
4	9	7	8
0	0	0	0
4167	3639	3849	3225
32	35	13	19
287	176	229	136
2	2	3	3
75	11	18	5
87	68	86	64
360	266	353	271
4	4	3	2
4	4	5	7
0	5	1	3
5644	5501	4994	4573
3067	2757	2560	2283
332	301	330	287
289	206	263	177
954	719	674	540
16	9	21	24
459	350	331	325
221	173	168	162
216	178	158	137
0	2	1	2
6	2	0	0
0	2	0	2
2184	1847	1933	1888
157	151	188	165
76	79	77	79
5	18	7	5
1	4	1	3
14529	14313	13273	11999
960	774	750	432
3	3	0	0
2	0	0	0
2	0	0	2
0	0	0	0
2051	2008	1833	1686
0	4	3	4
2	4	0	1
0	0	1	1
2	2	0	0
0	0	0	0
0	0	0	0
584	565	603	443
0	0	0	0
0	0	0	0
83	88	46	63
0	2	1	2
698	160	421	144
8	4	9	3
0	0	0	0
0	0	0	0
0	0	0	0
829	555	902	634
0	0	0	0
109	142	75	42
4	2	5	3
907	762	750	642
245	225	216	205
0	0	0	0
0	0	0	0
0	0	0	1
566	508	585	493
1198	1076	1485	1120
540	493	600	445
0	2	1	0
0	0	0	1
0	3	0	1
575	428	602	451
6	12	33	15
0	0	0	0
0	0	0	0
948	723	961	733
205	171	207	171
512	411	536	467
165	133	195	181
500	478	509	406
349	308	317	225
2	0	3	2
3	5	4	3
821	839	766	720
6295	5758	7593	5401
6176	5643	7421	5253
6	7	14	12
2	10	1	1
0	0	0	0
0	0	0	0
16	5	17	18
2453	2087	1751	1617
3106	2817	2617	2649
1685	1546	1403	1410
2	6	5	3
119	126	152	104
114	81	85	72
0	0	0	0
0	0	0	0
17	8	0	0
0	0	0	0
908	728	746	558
11781	10749	10060	8701
0	0	0	0
0	2	0	0
40	40	28	24
192	183	301	217
0	2	0	1
0	0	0	0
0	0	0	0
16	20	2	4
0	2	0	0
2	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
30	30	41	40
2623	2042	2411	1762
4	6	9	6
0	0	0	0
0	0	0	0
1609	1475	1378	1134
1545	1205	1485	1300
44	66	78	52
72	56	43	38
1173	905	1263	989
3301	2794	3558	2571
248	211	222	254
15268	14220	10990	10312
447	428	418	374
1284	1151	878	882
2	2	3	3
2024	1805	2039	1704
210	154	201	176
0	0	0	0
0	0	0	0
0	2	0	0
79	57	145	79
4	4	4	0
2	0	0	0
0	0	0	1
68	45	61	44
18	7	16	16
4	11	16	10
3686	2910	4113	2904
15	8	18	13
0	0	0	0
625	584	661	499
3647	3224	4138	3769
2767	2367	1946	2088
1557	1354	1174	1268
178	146	168	150
80	102	125	146
123	73	67	47
18	8	12	12
0	0	0	0
0	0	0	0
0	0	2	0
20453	17366	19864	17684
278	244	322	292
2204	2070	2344	2193
55	52	71	68
4	10	11	8
29004	23308	28448	23747
2776	1995	3198	2384
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	0	0
22	14	11	10
4	0	0	0
0	0	0	0
0	0	1	0
28	8	22	5
6074	5247	6218	5846
545	524	569	611
2363	2078	1892	1808
185	156	139	168
321	320	480	281
0	0	1	0
2	2	0	0
1447	1245	1236	1172
745	712	637	872
4109	3382	3130	2909
6974	6216	5761	5932
1658	1337	1354	1222
84	49	84	88
525	454	474	417
513	444	473	416
365	300	486	305
130	100	113	132
0	0	0	0
1344	1144	963	863
868	860	764	768
711	549	972	603
3	1	2	2
0	4	2	1
197	198	227	196
0	4	6	6
0	0	0	2
1865	1624	2150	1604
158	183	178	170
282	249	340	238
701	831	723	811
2583	2184	1964	1762
47	40	42	24
2211	1923	1854	2099
146	106	133	107
944	741	928	717
2064	1741	2079	1364
2	4	0	0
2	0	0	0
2	0	0	0
489	442	529	495
810	900	829	883
901	1002	939	1008
898	1000	939	1007
76	66	94	97
229	224	294	234
414	338	354	332
85	81	127	84
371	363	267	276
233	213	285	220
6728	7095	8758	6867
177	143	182	166
209	174	259	209
65	70	74	82
370	281	411	330
165	101	179	147
148	197	114	152
774	658	704	610
105	102	136	109
433	314	318	293
30	34	64	58
189	155	186	174
409	327	5379	3176
292	208	471	343
0	0	0	0
0	0	0	0
8	7	3	1
63	41	64	49
4	4	4	4
0	2	0	1
561	582	571	489
522	435	627	566
2777	2462	2736	2498
10	4	6	2
187	162	179	167
456	314	523	424
354	256	376	214
137	145	153	113
26	21	24	21
7	10	6	8
8	4	7	8
1024	962	1189	839
187	128	170	178
9732	7848	8510	6055
2251	1913	1775	1314
176	150	130	123
0	0	0	0
4806	4259	4468	3814
0	1	1	0
140	112	162	82
0	0	0	0
23	10	0	0
19	0	0	0
4	0	1	0
6	10	20	12
2	3	11	11
283	315	345	311
2	3	5	0
80	75	71	84
0	0	4	0
58	59	67	54
0	0	0	1
76	61	64	60
92	74	81	70
0	0	0	0
0	0	2	0
15	6	7	4
50	36	58	40
3	1	7	4
1393	983	1221	907
0	0	1	0
0	0	4	1
2478	2185	2213	1679
122	119	134	91
8	2	6	9
140	120	210	158
171	91	159	108
293	252	284	232
7	2	2	2
15	15	11	10
0	2	0	0
290	278	281	287
2964	2599	2766	2925
2204	1931	2119	2171
318	270	239	263
6415	5477	5962	5701
122	124	138	119
0	0	0	0
0	0	0	2
13	4	5	17
2123	1849	1986	1760
60	48	76	53
1209	1050	1158	1066
381	349	397	363
1723	1557	1823	1545
0	0	0	0
0	3	0	0
7690	7232	6069	5909
0	0	0	0
0	0	0	0
11	9	0	1
12197	9500	11790	9157
888	693	859	683
69	38	42	45
78	48	50	50
64	35	37	42
1286	1150	1270	1218
406	384	411	391
723	489	688	567
61	44	39	23
5	10	7	5
419	369	569	443
30	33	51	30
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
2	2	7	2
6	4	6	2
972	713	908	786
7181	5564	7179	6480
434	371	483	402
0	2	0	0
0	0	0	0
16	14	21	14
1	1	2	2
99	110	136	124
427	377	460	382
2941	2745	3029	2936
0	0	0	0
0	0	0	0
0	0	1	0
7	2	3	2
0	0	0	0
0	0	0	0
373	307	251	275
0	6	0	0
21	30	25	21
0	0	0	0
0	0	1	0
1	6	4	1
1497	1382	1167	1245
203	165	230	196
14	11	24	20
816	677	672	655
8862	7278	8214	6153
329	288	271	226
126	93	152	98
20	32	26	14
604	495	651	527
2	3	4	0
1010	914	1048	1009
3648	3256	4096	4024
4	1	5	3
306	212	370	281
4706	3804	4777	3875
134	111	104	91
17	14	22	26
31	22	42	39
1305	1096	1345	1048
1795	1493	2229	1577
7	8	17	12
0	0	1	0
1253	1045	1763	1348
0	0	4	5
63	46	52	25
187	185	222	243
1211	1085	1154	1214
818	723	541	601
7205	6028	5439	4331
0	0	0	0
0	0	0	0
6	5	15	1
0	0	3	1
708	746	609	770
9	6	4	8
426	345	301	314
485	470	416	477
1461	1305	1419	1004
446	360	461	282
729	657	822	726
4203	3654	3561	2551
680	602	590	456
3	0	0	1
2	0	0	0
2	0	5	2
559	402	567	461
295	218	231	209
830	753	902	872
335	286	320	268
1	0	0	0
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
8	8	14	15
0	0	3	3
16	17	31	15
1203	1159	1140	1075
5	5	0	4
525	404	499	380
2	2	1	1
0	0	0	0
139	116	134	126
1001	968	901	841
352	285	410	268
139	115	105	69
18	11	5	2
370	328	360	171
10	21	14	25
0	2	2	0
1519	1178	1885	1267
0	0	0	0
1	0	0	0
0	2	1	0
1	0	0	1
0	4	5	4
3827	3614	3294	3086
362	261	315	310
424	336	445	362
645	576	602	663
1827	1817	1750	1591
641	657	839	605
2343	2119	1921	1571
33922	31424	33539	33691
0	0	0	0
0	0	0	0
0	0	0	0
6	5	1	1
6	0	0	1
0	0	0	2
10	13	5	3
0	0	0	0
443	589	1	1
2477	2061	1809	1874
2	1	1	0
656	597	618	774
504	435	503	529
54	50	83	65
1514	991	10	8
28	34	12	13
0	9	14	6
0	0	2	3
521	449	508	539
0	4	0	3
62	69	58	71
17	24	22	26
306	273	339	258
49	51	30	37
646	570	502	518
45	40	40	35
4279	3647	4841	3520
6282	5885	5210	4546
83	79	63	42
1160	940	1028	929
779	640	612	640
55	50	96	56
6757	6348	7669	7546
771	637	579	557
1271	1113	1176	1102
5	3	3	2
8	6	0	0
3	6	2	0
1557	1164	1796	1298
88	65	97	68
180	218	186	194
0	0	4	8
0	0	1	0
0	0	0	0
0	2	0	1
2	0	0	0
14	14	5	8
0	0	0	0
3	12	11	17
608	572	563	755
140	73	93	19
1620	1312	1672	1301
70	100	112	92
1005	1025	1222	1326
494	617	677	501
5022	4018	5228	3836
2	3	3	0
18	10	66	48
4	0	6	6
0	0	1	2
200	145	174	167
6	12	4	3
4235	3674	4507	4207
0	0	0	0
25	50	44	42
0	2	0	0
718	668	810	622
169	102	173	146
1235	1209	1093	1030
1293	1091	958	1020
1256	1054	922	971
1235	1033	877	931
80	61	38	42
93	71	48	58
2647	2329	2837	2093
2	0	2	1
234	158	205	157
171	117	130	98
2784	2552	1976	2106
477	370	381	308
18	23	25	14
42	17	34	24
281	295	685	649
492	541	506	631
2688	2556	2273	2467
8	16	14	5
842	748	781	711
90	94	106	97
2872	2370	2360	2516
53	51	54	38
897	735	739	788
126	104	86	104
68	78	131	124
653	567	727	613
27492	25210	23138	18614
734	596	681	509
3125	2634	3425	2331
4312	3532	4638	2976
0	1	0	0
2	4	8	6
73	40	44	51
147	122	190	143
522	369	586	416
2620	2423	2219	2405
130	142	114	144
1501	1394	1370	1343
468	517	436	530
2	4	2	0
131	64	81	76
260	125	156	146
7	16	14	23
125	104	142	109
108	75	81	78
738	790	746	632
824	750	721	679
110	116	165	122
281	260	348	293
21460	19810	17749	16521
14738	13499	11454	11418
2405	2108	1844	1841
185	141	83	122
2956	2926	3058	2958
14	8	9	6
0	0	0	0
473	502	542	455
381	378	378	298
2	4	8	6
403	341	437	298
683	635	686	553
5812	5324	5886	5256
1572	1664	1679	1459
0	3	9	4
1	0	0	0
4	4	1	0
2	4	2	0
0	0	0	0
0	0	5	0
0	0	1	0
2	4	2	1
15	12	13	10
3	5	2	0
1	0	4	0
54	47	13	11
90	50	24	12
11	2	6	0
0	2	1	0
4	8	1	0
413	347	379	301
845	805	865	794
8444	6694	8106	5640
1358	1082	1222	868
46	54	51	53
0	0	0	2
12	0	6	2
0	0	0	0
36	40	60	53
2657	2393	2218	2322
3	2	5	4
441	442	554	419
4000	3893	3701	2959
307	282	276	260
0	0	0	0
0	1	0	0
0	3	2	3
5	6	2	3
4630	3997	3994	3745
20	17	20	16
1911	1787	1549	1652
917	874	821	817
217	164	196	167
497	512	387	479
336	316	372	294
7014	6730	5284	4441
486	507	331	280
547	520	524	458
777	566	705	559
546	383	501	367
2786	2390	2593	2033
4	0	12	2
15	13	10	7
48	32	53	43
56	2	8	6
0	0	0	0
401	455	616	670
1140	1018	1228	1130
11	9	9	11
375	308	449	341
3210	3248	2762	2106
59	25	35	25
18	8	16	18
0	0	0	0
11	7	19	17
3980	3813	3550	2945
1674	1533	1484	1258
0	0	2	2
0	0	0	1
26	30	24	24
10	8	11	8
846	689	751	570
237	214	243	180
390	298	389	358
0	0	1	0
0	0	0	0
0	0	0	0
5	2	6	2
1592	1364	1705	1258
2	0	3	2
507	405	394	383
841	776	640	599
4956	4664	4628	4304
12582	11928	9769	8695
21	4	10	8
36	27	38	30
782	709	1043	724
180	181	263	183
6	5	6	9
1083	961	1115	1134
6449	6171	5779	4891
45	29	37	45
2	0	2	0
260	253	268	199
6	2	1	0
286	299	226	186
2070	2032	1705	2003
1	0	5	2
348	247	336	220
128	94	111	89
202	138	196	135
1412	1265	1488	1549
565	625	424	422
237	262	173	194
2087	1613	1796	1585
1355	1073	1272	1179
547	484	483	396
133	122	172	129
131	94	131	161
0	1	0	0
883	814	870	981
17	20	11	2
143	129	99	78
5344	4553	6248	4688
8091	6516	8799	6830
1	2	1	2
0	0	0	0
745	676	672	639
1286	1189	1145	1130
2877	2657	3048	2789
763	798	866	1000
234	217	198	243
491	452	423	466
5726	4864	5951	4630
126	102	120	82
1756	1353	2115	1623
291	273	323	351
1732	1487	1535	1711
296	345	463	351
3	6	25	11
63	99	95	74
9	4	7	4
9	5	3	1
74	65	90	92
266	215	320	236
13070	13151	10504	9186
3911	3448	3166	3094
412	358	263	240
740	634	863	662
0	2	0	0
34	35	33	16
0	0	0	0
25	2	10	2
8	2	10	8
0	0	0	0
136	136	137	158
220	198	277	242
8274	7976	8055	6471
2838	2675	2444	1964
245	177	181	148
0	0	1	1
12	8	21	9
0	0	2	8
2	0	0	0
0	0	0	1
0	0	0	0
2	0	1	0
2	2	1	1
2	0	7	3
45	29	44	35
3	2	1	0
719	631	758	624
450	529	442	498
14301	11609	11553	9271
246	261	168	228
150	213	190	242
64	47	62	48
208	171	219	183
483	360	333	379
0	0	0	2
6	3	1	2
2898	2290	2624	1881
452	400	453	363
4	6	11	2
2	18	12	5
2	18	12	5
16076	13095	11978	10912
381	266	286	324
958	784	784	832
0	0	0	1
2024	1856	1831	1605
7	5	5	1
7	3	10	9
2	8	7	3
294	312	416	258
1843	1757	1271	1356
26	18	24	20
2901	2269	3277	2361
792	662	694	511
1439	1263	1193	1376
51	28	46	41
0	0	0	0
0	2	0	4
0	0	0	0
13	14	10	9
0	0	0	0
0	0	0	0
6271	6172	2984	3348
0	0	0	0
610	511	811	589
477	449	453	398
29	35	40	44
21605	18072	19464	19564
5104	4808	4468	3856
26	47	24	32
60	66	64	66
326	308	389	341
8	6	11	6
4	6	2	2
0	1	0	1
0	0	1	0
0	0	0	2
14	6	15	7
3842	3670	3324	2736
62	67	64	52
811	507	838	526
3184	2071	3275	1825
2112	1093	2042	1060
199	170	231	212
1090	671	1130	731
414	222	114	92
2569	1680	2499	1461
1104	591	1038	507
36205	34368	30712	29868
25	29	22	17
6	9	6	6
2	5	11	8
1	0	1	1
434	329	485	376
191	158	164	148
587	532	416	483
1025	809	963	892
981	769	1034	1008
61	35	48	40
1748	915	1609	761
2535	1503	2508	1219
1062	755	989	562
958	509	1352	649
0	0	0	0
0	2	2	3
12	8	15	12
138	118	170	131
19041	15685	14326	13713
0	0	0	0
5848	5042	4732	4520
82	63	48	53
8	4	4	5
152	105	181	150
0	0	1	0
7	2	1	0
131	84	85	65
0	0	0	0
0	0	0	0
526	344	543	493
0	0	0	1
0	0	0	0
19	30	27	13
0	0	0	0
2	0	0	0
42	8	0	0
73	7	2	1
0	0	0	0
0	0	0	0
0	0	0	0
14	2	4	0
0	0	0	0
2535	2300	2483	2112
14	29	18	26
15	30	22	28
0	0	0	1
2	2	3	0
0	0	0	0
0	0	0	0
1203	1162	853	729
839	719	616	539
0	0	1	0
0	0	0	0
0	0	0	0
2	0	0	0
6	2	0	0
6	2	0	0
27	9	0	0
2	2	1	0
19964	18066	17264	19038
0	0	0	0
298	253	273	271
17838	16497	15957	15552
4	11	13	10
171	148	231	187
427	327	350	245
314	134	386	292
184	176	200	164
6	0	0	1
18	9	5	5
240	305	330	241
0	0	0	1
0	0	1	1
0	0	0	1
4	0	2	1
27	33	38	23
0	0	0	0
1992	1757	1964	2045
1094	1204	1346	1309
186	130	161	133
0	0	0	0
0	0	0	0
5	11	9	9
1	3	1	3
675	594	849	813
157	130	142	136
6231	5613	5052	4846
466	410	381	402
1348	1142	1124	1007
10	12	14	18
2	0	1	6
2	2	4	2
2178	2108	1680	1723
196	200	274	263
180	168	181	191
2	0	0	1
92	79	99	89
14	16	15	11
0	0	2	4
104	85	103	98
18	32	29	14
5	2	3	7
2186	1639	2630	1911
47	47	75	61
356	396	545	388
86	62	81	58
48	50	66	33
58	64	85	72
835	713	770	573
2	4	2	1
991	891	816	756
1092	1013	984	873
1	0	3	2
0	0	0	0
0	2	0	0
944	697	712	546
32	24	24	16
4	2	4	0
14	16	20	10
11	16	17	9
44	42	38	24
20	8	14	14
60	69	63	42
0	0	3	0
0	0	0	0
2	0	0	0
5	2	0	0
1	2	4	2
0	2	12	5
0	0	3	5
7722	6513	6000	5262
410	337	472	384
8	12	16	17
486	386	436	384
1821	1536	1393	1246
488	428	474	352
890	764	727	586
672	619	844	675
4475	3975	3063	3185
634	523	512	444
0	0	0	0
116	50	75	66
335	283	372	321
787	743	783	584
3781	3653	3348	2840
1921	1769	1727	1522
4	8	7	3
11712	10118	11642	8210
851	839	634	696
101	92	130	111
27	21	21	14
0	0	0	0
0	0	0	0
0	0	0	0
118	97	530	408
0	0	0	0
0	0	0	0
0	0	1	0
7	4	2	1
3876	3493	2892	2884
1	1	2	2
151	105	122	136
191	67	77	27
6	0	4	2
1	0	0	0
204	165	195	190
0	0	7	3
8	3	4	5
1	0	0	2
1116	892	1128	834
0	2	2	1
1	0	1	0
1747	1620	1347	1399
61	43	66	56
100	50	122	57
71	112	53	74
1635	1420	1457	1121
1637	1421	1459	1126
0	0	0	0
0	0	0	0
2110	1858	1688	1722
45	19	55	32
0	0	1	2
0	0	1	2
1443	1317	1337	1229
2	0	1	1
1416	1345	1388	1431
43237	38075	39747	34443
1249	1079	1014	954
2	0	6	3
0	0	1	0
15031	14121	13444	10952
12	18	23	19
0	0	0	0
1735	1394	1881	1594
0	0	0	0
202	208	225	126
0	0	0	0
195	137	140	110
652	489	526	498
530	438	499	377
2030	1862	2174	1656
82	108	61	81
940	856	898	968
634	545	658	538
217	213	291	238
1206	1193	984	945
0	0	0	1
0	0	1	0
1	1	0	1
10187	9944	8422	8038
510	455	384	402
0	0	0	0
2	2	3	0
13	18	21	9
1130	1038	1271	1059
404	404	274	358
10599	10238	10939	10092
75803	66104	62775	59622
234	191	229	176
6	6	11	5
853	822	1011	730
0	0	0	0
0	1	5	0
0	0	0	0
0	0	0	0
2	0	0	0
0	2	0	0
0	0	0	0
1949	1578	2238	1503
1341	1253	1182	1268
2324	2066	2316	1721
17677	16202	18677	15002
168	156	142	136
764	847	865	707
147	140	137	136
1019	1044	922	824
137	176	180	225
4	13	5	9
0	0	0	0
4	0	6	9
6	5	6	0
2	0	1	1
28	22	30	24
61	61	79	75
5399	4649	5703	4705
1730	1539	1313	921
1321	1134	1334	812
1	5	3	0
0	0	0	0
1512	1355	1318	1292
2716	2103	2432	2004
0	0	0	2
2	0	2	1
28	49	50	36
1032	778	775	798
4245	3736	3936	2526
2360	1774	2130	1612
550	520	546	512
788	578	602	442
766	724	824	657
1735	1637	1088	1080
43	46	23	33
5	1	1	0
168	122	182	108
0	3	5	4
1470	1294	1157	1002
2515	2163	2644	1877
270	222	148	163
7734	7161	4906	5553
2	2	1	0
36	33	46	46
5870	5109	5641	4988
4047	3927	3403	3342
158	194	141	156
4	4	3	2
0	2	0	0
3	0	4	2
20	29	21	30
49	49	29	51
1289	1195	1296	866
762	656	839	774
172	135	205	166
49	53	46	55
73	75	70	78
555	544	530	409
785	770	751	665
1163	1003	1143	890
262	244	266	287
350	245	307	242
53	31	36	30
1092	943	1044	926
0	1	1	0
142	56	110	52
0	3	4	1
5406	5010	4148	4288
