A1	A2	B1	B2
46	57	44	50
51	72	63	60
16	15	18	16
306	357	189	165
0	2	2	1
5	6	5	3
26	19	23	13
1426	1288	1280	1162
1296	1172	1083	900
984	852	871	884
655	644	664	544
734	654	644	496
304	319	430	379
0	2	0	0
0	0	0	0
1	0	6	2
1192	1222	775	894
1129	942	909	881
262	202	263	198
70	60	67	56
2	4	10	11
0	0	0	1
397	418	454	390
18	17	8	11
584	547	667	463
109	153	115	90
646	579	567	651
9716	8611	9786	8253
0	0	1	0
231	205	329	288
194	145	160	113
97	104	83	71
198	133	198	184
655	684	402	514
13	20	23	14
147	138	170	131
1054	894	930	727
2459	2315	1979	2213
25	25	19	19
5846	5395	6118	6127
2	4	3	3
2	0	0	0
0	0	0	0
0	0	0	0
0	0	1	2
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
464	446	397	456
1324	1249	1118	1310
2550	1992	1959	1316
208	146	134	82
451	357	468	376
796	668	779	615
251	266	302	253
3253	2881	2704	2355
293	251	204	202
0	0	0	0
437	396	486	362
1220	1206	1262	1103
2064	1704	1511	1305
0	0	0	0
0	0	0	0
2	1	1	0
1	0	0	0
14	15	14	9
1393	1137	1301	1160
1152	1118	1217	1173
479	356	386	309
1490	1309	1284	1166
17385	14933	17677	16518
5997	4637	3888	2454
4065	3093	2707	2036
4446	3624	4178	4038
677	443	566	410
0	0	0	0
144	148	117	145
1846	1698	1414	1726
143	142	108	133
16985	14797	12894	15156
130	104	97	93
126	100	94	86
100	85	99	76
45	36	3	2
2	4	0	0
3426	3402	3427	3679
94	87	58	77
285	230	274	246
1564	1262	1342	1150
0	2	8	4
6	4	6	4
65846	59494	63788	55036
10746	8566	10341	9472
110	63	103	95
8	2	1	0
0	0	0	0
15	15	0	3
0	0	0	0
0	0	0	0
284	234	393	293
124	88	77	64
123	71	144	118
0	0	0	1
183	211	149	151
1601	1294	1502	1027
34	25	24	19
2	0	0	1
70	70	61	53
9	2	4	5
1789	1748	1731	1755
211	203	152	200
4629	4160	4752	3921
694	624	587	520
151	143	95	90
1426	1275	1182	1026
120	85	99	58
2	4	1	0
2	0	7	6
732	789	844	835
193	163	177	160
412	313	403	335
7	11	26	24
1445	1286	1410	1182
5739	5131	6564	5637
671	538	656	644
0	2	2	0
4	0	1	0
6	6	1	1
4	4	0	0
17863	16064	13763	14201
334	290	280	282
246	223	298	238
414	314	466	342
115	114	112	94
1	0	0	0
345	350	368	371
4314	4378	3427	2482
500	453	410	408
443	479	377	555
982	914	1048	859
397	197	295	184
4	0	0	0
11	7	5	5
1	2	0	2
2	2	1	2
339	302	282	398
164	174	176	161
0	0	0	0
282	251	343	218
16	23	29	18
643	620	797	674
233	169	206	194
1594	1320	1681	1358
810	781	756	736
1	0	0	1
600	433	376	262
2	3	0	0
2261	1835	1803	1684
18	20	5	5
138	135	101	130
58	44	11	5
0	0	2	1
2	0	3	0
5099	4355	4313	4700
111	100	68	88
2	2	5	2
14613	11941	13275	10652
668	568	626	516
2923	2250	2158	1503
2	2	4	1
8	11	15	9
1	1	2	0
11	15	18	22
82	90	100	94
95	66	75	60
1441	1275	1770	1198
1924	1946	1776	2026
568	522	647	635
36	41	18	27
6	8	5	8
579	453	720	578
4340	3131	4193	3283
0	0	1	1
303	325	296	309
9014	9102	8566	6616
348	286	152	174
0	0	2	0
14	27	12	23
1346	1283	1233	1234
7218	7463	5603	5312
8842	8439	8463	6584
57	30	57	55
654	499	615	492
2	4	3	0
186	204	266	211
278	263	218	201
0	0	0	0
0	0	0	0
4	1	2	0
4	0	2	1
6	0	1	3
1457	1349	1897	1437
213	232	239	176
137	106	166	126
990	950	737	809
0	0	0	0
1328	1187	1169	1396
12	24	27	20
471	410	583	383
1583	1474	1510	1552
628	624	548	457
531	499	529	417
34	28	5	11
10	7	9	8
1675	1450	1782	1250
4	4	3	3
3077	2750	2434	2311
7	5	6	6
0	0	3	4
1272	1066	1344	1068
3	2	5	5
327	265	293	248
31	39	57	40
2	0	3	1
695	645	674	621
297	261	321	355
3924	3763	3917	4141
68680	64390	74230	65873
175	118	315	266
12	10	12	9
111	79	97	78
910	950	723	744
4443	3963	3706	3613
3304	3271	3350	2646
19	18	15	18
124	102	121	97
0	0	0	1
0	3	1	2
14	10	15	9
20597	19241	21621	23294
1206	990	720	682
1356	1371	1013	1231
1335	1243	1006	852
609	561	666	553
8246	7386	6395	7078
35	29	30	32
896	810	799	738
648	633	774	612
92	77	109	101
5653	4476	4567	3925
18	13	30	19
